id,title,image_link
34,Altar found in ancient Mayan city contains bodies – and wasn’t made by the Maya,"https://media.cnn.com/api/v1/images/stellar/prod/218a-all-american-ads-2000s-mi-08702-3.jpg?c=16x9&q=h_438,w_780,c_fill"
35,17-year-old sprinting phenom breaks 20-second barrier in 200m,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2210010871.jpg?c=16x9&q=h_438,w_780,c_fill"
36,‘It’s what we deserve’: Comedian on China’s response to Trump’s tariffs,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2210010871.jpg?c=16x9&q=h_438,w_780,c_fill"
37,‘White Lotus’ star responds to ‘mean and unfunny’ impersonation in ‘SNL’ sketch,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2210010871.jpg?c=16x9&q=h_438,w_780,c_fill"
38,"Fan controversially rips ball from Mike Trout’s glove, preventing impressive catch","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2210010871.jpg?c=16x9&q=h_438,w_780,c_fill"
39,A mysterious ocean glow reported for over 400 years has stumped scientists. A new study could offer clues,"https://media.cnn.com/api/v1/images/stellar/prod/20190801-1809-1813-j01-viirs-dnb-milkysea-java-false-color.jpg?c=16x9&q=h_438,w_780,c_fill"
40,3D scan of Titanic sheds new light on doomed liner’s final moments,"https://media.cnn.com/api/v1/images/stellar/prod/20190801-1809-1813-j01-viirs-dnb-milkysea-java-false-color.jpg?c=16x9&q=h_438,w_780,c_fill"
41,Jawbone dredged up from the seafloor expands the range of a mysterious species of ancient human,"https://media.cnn.com/api/v1/images/stellar/prod/20190801-1809-1813-j01-viirs-dnb-milkysea-java-false-color.jpg?c=16x9&q=h_438,w_780,c_fill"
42,Were dinosaurs headed for extinction even before massive asteroid strike? Scientists offer new clues,"https://media.cnn.com/api/v1/images/stellar/prod/20190801-1809-1813-j01-viirs-dnb-milkysea-java-false-color.jpg?c=16x9&q=h_438,w_780,c_fill"
43,Traveler says her thwarted world record attempt shows ‘passport privilege’ is real,"https://media.cnn.com/api/v1/images/stellar/prod/alma-thumb.jpg?c=16x9&q=h_438,w_780,c_fill"
44,Airlines are bringing back first class — but there are problems,"https://media.cnn.com/api/v1/images/stellar/prod/alma-thumb.jpg?c=16x9&q=h_438,w_780,c_fill"
45,‘It’s like our friend started a fist fight with us’: These Europeans are skipping US travel,"https://media.cnn.com/api/v1/images/stellar/prod/alma-thumb.jpg?c=16x9&q=h_438,w_780,c_fill"
46,Airport theory: The new viral trend that has people missing their flights,"https://media.cnn.com/api/v1/images/stellar/prod/alma-thumb.jpg?c=16x9&q=h_438,w_780,c_fill"
47,"Trump’s immigration crackdown is hurting Modelo and Corona sales, CEO says","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2197445278.jpg?c=16x9&q=h_438,w_780,c_fill"
48,Chinese EV giant BYD overtakes Tesla in the Global EV race,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2197445278.jpg?c=16x9&q=h_438,w_780,c_fill"
49,Cheap things from China are poised to get pricey. Secondhand retailers are ready to take advantage,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2197445278.jpg?c=16x9&q=h_438,w_780,c_fill"
50,British government takes over running of UK’s last major steel plant from Chinese owner Jingye,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2197445278.jpg?c=16x9&q=h_438,w_780,c_fill"
51,Meet the designer behind Lisa’s reptilian Coachella look,"https://media.cnn.com/api/v1/images/stellar/prod/lisa-asher-levine-villain-4.jpg?c=16x9&q=h_438,w_780,c_fill"
52,Architect Sou Fujimoto: Expo 2025 is ‘a precious opportunity to come together’,"https://media.cnn.com/api/v1/images/stellar/prod/lisa-asher-levine-villain-4.jpg?c=16x9&q=h_438,w_780,c_fill"
53,Nigerian cinema in the spotlight as ‘My Father’s Shadow’ to premiere in Cannes Film Festival first,"https://media.cnn.com/api/v1/images/stellar/prod/lisa-asher-levine-villain-4.jpg?c=16x9&q=h_438,w_780,c_fill"
54,‘I want to reclaim my skin’: Why these people are removing their tattoos,"https://media.cnn.com/api/v1/images/stellar/prod/lisa-asher-levine-villain-4.jpg?c=16x9&q=h_438,w_780,c_fill"
55,Why chess is forging an unlikely partnership with esports,"https://media.cnn.com/api/v1/images/stellar/prod/ap24159575232147.jpg?c=16x9&q=h_438,w_780,c_fill"
56,Nick Dunlap records extraordinary 19-shot turnaround after nightmarish opening round at the Masters,"https://media.cnn.com/api/v1/images/stellar/prod/ap24159575232147.jpg?c=16x9&q=h_438,w_780,c_fill"
57,Tennis great Stan Smith laments the sport battling ‘a lot of the same issues we had back 50 years ago’ following PTPA lawsuit,"https://media.cnn.com/api/v1/images/stellar/prod/ap24159575232147.jpg?c=16x9&q=h_438,w_780,c_fill"
58,Nikola Jokić completes yet another extraordinary feat,"https://media.cnn.com/api/v1/images/stellar/prod/ap24159575232147.jpg?c=16x9&q=h_438,w_780,c_fill"
59,"Kilmar Abrego Garcia was mistakenly deported. In a tense hearing, DOJ wouldn’t say where he is. What happens next?","https://media.cnn.com/api/v1/images/stellar/prod/jennifer-vasquez.jpg?c=16x9&q=h_438,w_780,c_fill"
60,"US-Iran negotiators hold ‘constructive’ nuclear talks, will meet again next week","https://media.cnn.com/api/v1/images/stellar/prod/jennifer-vasquez.jpg?c=16x9&q=h_438,w_780,c_fill"
61,Trump’s retribution sends a chilling message to dissenters,"https://media.cnn.com/api/v1/images/stellar/prod/jennifer-vasquez.jpg?c=16x9&q=h_438,w_780,c_fill"
62,Harvard University professors sue Trump administration to block review of nearly $9 billion in federal funds,"https://media.cnn.com/api/v1/images/stellar/prod/jennifer-vasquez.jpg?c=16x9&q=h_438,w_780,c_fill"
63,Common roadblocks that men face in their male friendships and a road map for getting past them,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2156436937.jpg?c=16x9&q=h_438,w_780,c_fill"
64,"That chronic pain is not all in your head, but the solution may not be in your body, expert says","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2156436937.jpg?c=16x9&q=h_438,w_780,c_fill"
65,"The unexpected benefit of walking 8,000 steps a day, according to an expert","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2156436937.jpg?c=16x9&q=h_438,w_780,c_fill"
66,Cognitive shuffling: A mental trick to help you quiet racing thoughts and fall asleep,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2156436937.jpg?c=16x9&q=h_438,w_780,c_fill"
67,Smartphones and computers are now exempt from Trump’s latest tariffs,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2172411879.jpg?c=16x9&q=h_438,w_780,c_fill"
68,Tech bros and tradwives are unlikely allies in a little-known movement that’s gaining momentum,"https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2172411879.jpg?c=16x9&q=h_438,w_780,c_fill"
69,"From underwater habitats to ‘space taxis,’ the UK is staking its claim to be an innovation hub","https://media.cnn.com/api/v1/images/stellar/prod/gettyimages-2172411879.jpg?c=16x9&q=h_438,w_780,c_fill"
70,The week in 40 photos,"https://media.cnn.com/api/v1/images/stellar/prod/17-gettyimages-2208024484.jpg?c=16x9&q=h_270,w_480,c_fill"
71,In pictures: Nightclub roof collapse in Dominican Republic,"https://media.cnn.com/api/v1/images/stellar/prod/17-gettyimages-2208024484.jpg?c=16x9&q=h_270,w_480,c_fill"
72,In pictures: Charles and Camilla,"https://media.cnn.com/api/v1/images/stellar/prod/17-gettyimages-2208024484.jpg?c=16x9&q=h_270,w_480,c_fill"
73,Florida wins a thriller to claim third national title,"https://media.cnn.com/api/v1/images/stellar/prod/17-gettyimages-2208024484.jpg?c=16x9&q=h_270,w_480,c_fill"
74,Northern hairy-nosed wombat: Back from the brink,"https://media.cnn.com/api/v1/images/stellar/prod/17-gettyimages-2208024484.jpg?c=16x9&q=h_270,w_480,c_fill"
75,People we’ve lost in 2025,"https://media.cnn.com/api/v1/images/stellar/prod/17-gettyimages-2208024484.jpg?c=16x9&q=h_270,w_480,c_fill"
76,Trump is trying to reinvent 1950 with his tariffs. He should be planning for 2050,"https://media.cnn.com/api/v1/images/stellar/prod/20250402-trump-1950s-tariffs-ai-final.jpg?c=16x9&q=h_438,w_780,c_fill"
